Saison 64; Spieltag 1; Saarbruecken;0;2; 1. FC Koeln
Saison 64; Spieltag 14; Muenster;1;3; Bremen
Saison 64; Spieltag 14; Karlsruhe;1;1; Schalke
Saison 64; Spieltag 14; Braunschweig;2;0; Nuernberg
Saison 64; Spieltag 14; Hamburg;2;1; Dortmund
Saison 64; Spieltag 15; Frankfurt;0;3; Karlsruhe
Saison 64; Spieltag 15; Bremen;4;1;1860
Saison 64; Spieltag 15; Hertha;2;0; Muenster
Saison 64; Spieltag 15; Dortmund;3;0; Braunschweig
Saison 64; Spieltag 15; VfB Stuttgart;0;1; 1. FC Koeln
Saison 64; Spieltag 15; Kaiserslautern;1;1; Duisburg
Saison 64; Spieltag 15; Schalke;1;1; Saarbruecken
Saison 64; Spieltag 15; Nuernberg;3;2; Hamburg
Saison 64; Spieltag 16; 1. FC Koeln;1;3; Saarbruecken
Saison 64; Spieltag 16; Dortmund;4;3; Bremen
Saison 64; Spieltag 16; Braunschweig;0;1;1860
Saison 64; Spieltag 16; Kaiserslautern;1;1; Frankfurt
Saison 64; Spieltag 16; Nuernberg;2;3; Hertha
Saison 64; Spieltag 16; Hamburg;5;0; Muenster
Saison 64; Spieltag 16; Duisburg;2;0; Karlsruhe
Saison 64; Spieltag 16; VfB Stuttgart;2;0; Schalke
Saison 64; Spieltag 17;1860;6;1; Dortmund
Saison 64; Spieltag 17; Schalke;4;0; Kaiserslautern
Saison 64; Spieltag 17; Muenster;0;2; Braunschweig
Saison 64; Spieltag 17; Bremen;2;1; Nuernberg
Saison 64; Spieltag 17; Hertha;1;2; VfB Stuttgart
Saison 64; Spieltag 17; Karlsruhe;2;2; 1. FC Koeln
Saison 64; Spieltag 17; Saarbruecken;1;1; Hamburg
Saison 64; Spieltag 17; Frankfurt;2;2; Duisburg
Saison 64; Spieltag 18; Duisburg;0;0; Muenster
Saison 64; Spieltag 18; Hamburg;1;1; Karlsruhe
Saison 64; Spieltag 18; Dortmund;3;0; Schalke
Saison 64; Spieltag 18; Nuernberg;1;0; Frankfurt
Saison 64; Spieltag 18; 1. FC Koeln;2;2;1860
Saison 64; Spieltag 18; Kaiserslautern;3;0; Hertha
Saison 64; Spieltag 18; Braunschweig;3;1; Saarbruecken
Saison 64; Spieltag 18; VfB Stuttgart;2;0; Bremen
Saison 64; Spieltag 19; Karlsruhe;3;1; Braunschweig
Saison 64; Spieltag 19; Bremen;2;0; Kaiserslautern
Saison 64; Spieltag 19; Schalke;2;3; 1. FC Koeln
Saison 64; Spieltag 19; Muenster;0;1; Nuernberg
Saison 64; Spieltag 19;1860;1;1; VfB Stuttgart
Saison 64; Spieltag 19; Hertha;5;2; Duisburg
Saison 64; Spieltag 19; Frankfurt;2;2; Hamburg
Saison 64; Spieltag 19; Saarbruecken;2;1; Dortmund
Saison 64; Spieltag 20; VfB Stuttgart;0;3; Muenster
Saison 64; Spieltag 20; Duisburg;0;0; Bremen
Saison 64; Spieltag 20; Kaiserslautern;2;1;1860
Saison 64; Spieltag 20; Hamburg;3;1; Schalke
Saison 64; Spieltag 20; 1. FC Koeln;3;1; Hertha
Saison 64; Spieltag 20; Braunschweig;0;3; Frankfurt
Saison 64; Spieltag 20; Dortmund;3;2; Karlsruhe
Saison 64; Spieltag 20; Nuernberg;2;0; Saarbruecken
Saison 64; Spieltag 21; Saarbruecken;1;1; VfB Stuttgart
Saison 64; Spieltag 21; Hertha;1;2; Hamburg
Saison 64; Spieltag 21; Karlsruhe;1;3; Nuernberg
Saison 64; Spieltag 21; Frankfurt;2;1; Dortmund
Saison 64; Spieltag 21; Schalke;2;0; Braunschweig
Saison 64; Spieltag 21; Bremen;1;1; 1. FC Koeln
Saison 64; Spieltag 21; Muenster;1;0; Kaiserslautern
Saison 64; Spieltag 21;1860;0;0; Duisburg
Saison 64; Spieltag 22; VfB Stuttgart;4;1; Karlsruhe
Saison 64; Spieltag 22; 1. FC Koeln;1;1; Frankfurt
Saison 64; Spieltag 22; Dortmund;0;0; Muenster
Saison 64; Spieltag 22; Kaiserslautern;2;4; Saarbruecken
Saison 64; Spieltag 22; Nuernberg;2;2;1860
Saison 64; Spieltag 22; Duisburg;3;0; Schalke
Saison 64; Spieltag 22; Hamburg;1;1; Bremen
Saison 64; Spieltag 22; Braunschweig;1;1; Hertha
Saison 64; Spieltag 23; Frankfurt;3;2; VfB Stuttgart
Saison 64; Spieltag 23;1860;9;2; Hamburg
Saison 64; Spieltag 23; Schalke;4;1; Nuernberg
Saison 64; Spieltag 23; Saarbruecken;0;2; Duisburg
Saison 64; Spieltag 23; Hertha;0;0; Dortmund
Saison 64; Spieltag 23; Muenster;1;2; 1. FC Koeln
Saison 64; Spieltag 23; Karlsruhe;5;1; Kaiserslautern
Saison 64; Spieltag 23; Bremen;2;3; Braunschweig
Saison 64; Spieltag 24; Braunschweig;2;1; Hamburg
Saison 64; Spieltag 24; Duisburg;2;2; 1. FC Koeln
Saison 64; Spieltag 24;1860;3;1; Muenster
Saison 64; Spieltag 24; Frankfurt;4;0; Hertha
Saison 64; Spieltag 24; Kaiserslautern;3;1; Nuernberg
Saison 64; Spieltag 24; Karlsruhe;2;2; Saarbruecken
Saison 64; Spieltag 24; Bremen;1;0; Schalke
Saison 64; Spieltag 24; Dortmund;7;1; VfB Stuttgart
Saison 64; Spieltag 25; Saarbruecken;1;2;1860
Saison 64; Spieltag 25; Schalke;1;2; Frankfurt
Saison 64; Spieltag 25; Muenster;0;0; Karlsruhe
Saison 64; Spieltag 25; 1. FC Koeln;4;1; Braunschweig
Saison 64; Spieltag 25; Hamburg;3;3; Duisburg
Saison 64; Spieltag 25; VfB Stuttgart;4;0; Kaiserslautern
Saison 64; Spieltag 25; Nuernberg;4;0; Dortmund
Saison 64; Spieltag 25; Hertha;5;2; Bremen
Saison 64; Spieltag 26; Muenster;2;1; Saarbruecken
Saison 64; Spieltag 26; Hamburg;1;1; 1. FC Koeln
Saison 64; Spieltag 26; Frankfurt;7;1; Bremen
Saison 64; Spieltag 26; Duisburg;5;1; Braunschweig
Saison 64; Spieltag 26; Nuernberg;0;0; VfB Stuttgart
Saison 64; Spieltag 26; Kaiserslautern;0;1; Dortmund
Saison 64; Spieltag 26; Hertha;1;0; Schalke
Saison 64; Spieltag 26; Karlsruhe;1;0;1860
Saison 64; Spieltag 27; Dortmund;0;0; Duisburg
Saison 64; Spieltag 27; Saarbruecken;3;0; Hertha
Saison 64; Spieltag 27; Bremen;0;0; Karlsruhe
Saison 64; Spieltag 27; VfB Stuttgart;2;2; Hamburg
Saison 64; Spieltag 27;1860;1;1; Frankfurt
Saison 64; Spieltag 27; Braunschweig;0;1; Kaiserslautern
Saison 64; Spieltag 27; 1. FC Koeln;5;0; Nuernberg
Saison 64; Spieltag 27; Schalke;1;2; Muenster
Saison 64; Spieltag 28; Duisburg;1;0; Nuernberg
Saison 64; Spieltag 28; Muenster;1;3; Frankfurt
Saison 64; Spieltag 28; Hamburg;7;3; Kaiserslautern
Saison 64; Spieltag 28; Karlsruhe;1;1; Hertha
Saison 64; Spieltag 28; 1. FC Koeln;5;2; Dortmund
Saison 64; Spieltag 28; Saarbruecken;3;2; Bremen
Saison 64; Spieltag 28;1860;7;1; Schalke
Saison 64; Spieltag 28; Braunschweig;2;0; VfB Stuttgart
Saison 64; Spieltag 29; Hertha;3;1;1860
Saison 64; Spieltag 29; Kaiserslautern;3;3; 1. FC Koeln
Saison 64; Spieltag 29; Schalke;2;1; Karlsruhe
Saison 64; Spieltag 29; VfB Stuttgart;1;2; Duisburg
Saison 64; Spieltag 29; Bremen;4;2; Muenster
Saison 64; Spieltag 29; Nuernberg;1;0; Braunschweig
Saison 64; Spieltag 29; Frankfurt;3;1; Saarbruecken
Saison 64; Spieltag 29; Dortmund;5;2; Hamburg
Saison 64; Spieltag 30; Braunschweig;2;0; Dortmund
Saison 64; Spieltag 30;1860;3;2; Bremen
Saison 64; Spieltag 30; Saarbruecken;1;1; Schalke
Saison 64; Spieltag 30; Duisburg;3;0; Kaiserslautern
Saison 64; Spieltag 30; 1. FC Koeln;2;1; VfB Stuttgart
Saison 64; Spieltag 30; Muenster;4;2; Hertha
Saison 64; Spieltag 30; Hamburg;2;2; Nuernberg
Saison 64; Spieltag 30; Karlsruhe;1;2; Frankfurt
Saison 65; Spieltag 1; Frankfurt;2;2; Schalke
Saison 65; Spieltag 1; Dortmund;0;2; Hannover
Saison 65; Spieltag 1; Kaiserslautern;2;1; Bremen
Saison 65; Spieltag 1; 1. FC Koeln;2;3; Hertha
Saison 65; Spieltag 1; Nuernberg;2;0; Neunkirchen
Saison 65; Spieltag 1; Braunschweig;1;1;1860
Saison 65; Spieltag 1; Karlsruhe;2;1; Duisburg
Saison 65; Spieltag 1; Hamburg;2;2; VfB Stuttgart
Saison 65; Spieltag 2; Hannover;2;0; 1. FC Koeln
Saison 65; Spieltag 2; VfB Stuttgart;3;1; Nuernberg
Saison 65; Spieltag 2;1860;0;1; Frankfurt
Saison 65; Spieltag 2; Schalke;1;1; Karlsruhe
Saison 65; Spieltag 2; Hertha;0;0; Hamburg
Saison 65; Spieltag 2; Bremen;5;1; Braunschweig
Saison 65; Spieltag 2; Neunkirchen;1;2; Dortmund
Saison 65; Spieltag 2; Duisburg;3;1; Kaiserslautern
Saison 65; Spieltag 3; Kaiserslautern;3;0; Schalke
Saison 65; Spieltag 3; Frankfurt;0;2; Bremen
Saison 65; Spieltag 3; 1. FC Koeln;4;3; Neunkirchen
Saison 65; Spieltag 3; Nuernberg;2;0; Hertha
Saison 65; Spieltag 3; Dortmund;1;0; VfB Stuttgart
Saison 65; Spieltag 3; Braunschweig;0;1; Duisburg
Saison 65; Spieltag 3; Hamburg;3;0; Hannover
Saison 65; Spieltag 3; Karlsruhe;1;5;1860
Saison 65; Spieltag 4; Schalke;0;3; Braunschweig
Saison 65; Spieltag 4; VfB Stuttgart;3;3; 1. FC Koeln
Saison 65; Spieltag 4; Neunkirchen;3;1; Hamburg
Saison 65; Spieltag 4;1860;2;2; Kaiserslautern
Saison 65; Spieltag 4; Hertha;0;0; Dortmund
Saison 65; Spieltag 4; Bremen;1;0; Karlsruhe
Saison 65; Spieltag 4; Duisburg;1;3; Frankfurt
Saison 65; Spieltag 4; Hannover;2;2; Nuernberg
Saison 65; Spieltag 5; VfB Stuttgart;1;1; Hertha
Saison 65; Spieltag 5; 1. FC Koeln;4;2; Bremen
Saison 65; Spieltag 5; Nuernberg;3;2; Schalke
Saison 65; Spieltag 5; Frankfurt;0;7; Karlsruhe
Saison 65; Spieltag 5; Kaiserslautern;1;0; Hannover
Saison 65; Spieltag 5; Hamburg;3;0; Duisburg
Saison 65; Spieltag 5; Braunschweig;1;0; Neunkirchen
Saison 65; Spieltag 5; Dortmund;1;1;1860
Saison 65; Spieltag 6; Schalke;2;6; Dortmund
Saison 65; Spieltag 6; Hertha;1;3; Frankfurt
Saison 65; Spieltag 6; Duisburg;0;3; 1. FC Koeln
Saison 65; Spieltag 6; Karlsruhe;0;0; VfB Stuttgart
Saison 65; Spieltag 6;1860;2;0; Nuernberg
Saison 65; Spieltag 6; Neunkirchen;0;3; Kaiserslautern
Saison 65; Spieltag 6; Hannover;2;2; Braunschweig
Saison 65; Spieltag 6; Bremen;0;0; Hamburg
Saison 65; Spieltag 7; Hannover;1;2; Bremen
Saison 65; Spieltag 7; 1. FC Koeln;5;1; Braunschweig
Saison 65; Spieltag 7; Nuernberg;4;1; Karlsruhe
Saison 65; Spieltag 7; VfB Stuttgart;2;1; Schalke
Saison 65; Spieltag 7; Neunkirchen;4;2; Duisburg
Saison 65; Spieltag 7; Hamburg;2;1; Frankfurt
Saison 65; Spieltag 7; Dortmund;3;2; Kaiserslautern
Saison 65; Spieltag 7; Hertha;2;1;1860
Saison 65; Spieltag 8; Duisburg;3;3; VfB Stuttgart
Saison 65; Spieltag 8;1860;4;0; Hannover
Saison 65; Spieltag 8; Bremen;2;0; Neunkirchen
Saison 65; Spieltag 8; Schalke;3;0; Hertha
Saison 65; Spieltag 8; Kaiserslautern;3;2; Nuernberg
Saison 65; Spieltag 8; Braunschweig;0;1; Dortmund
Saison 65; Spieltag 8; Karlsruhe;2;2; Hamburg
Saison 65; Spieltag 8; Frankfurt;1;4; 1. FC Koeln
Saison 65; Spieltag 9; Hertha;2;2; Duisburg
Saison 65; Spieltag 9; Hannover;1;0; Schalke
Saison 65; Spieltag 9; 1. FC Koeln;4;1; Karlsruhe
Saison 65; Spieltag 9; Dortmund;1;3; Frankfurt
Saison 65; Spieltag 9; VfB Stuttgart;1;1; Bremen
Saison 65; Spieltag 9; Nuernberg;3;2; Braunschweig
Saison 65; Spieltag 9; Neunkirchen;3;0;1860
Saison 65; Spieltag 9; Hamburg;3;2; Kaiserslautern
Saison 65; Spieltag 10; Karlsruhe;2;0; Dortmund
Saison 65; Spieltag 10; Frankfurt;1;1; Nuernberg
Saison 65; Spieltag 10; Bremen;5;1; Hertha
Saison 65; Spieltag 10;1860;1;0; VfB Stuttgart
Saison 65; Spieltag 10; Kaiserslautern;2;2; 1. FC Koeln
Saison 65; Spieltag 10; Duisburg;1;0; Hannover
Saison 65; Spieltag 10; Braunschweig;2;0; Hamburg
Saison 65; Spieltag 10; Schalke;1;1; Neunkirchen
Saison 65; Spieltag 11; Hannover;3;2; Frankfurt
Saison 65; Spieltag 11; Dortmund;1;0; Duisburg
Saison 65; Spieltag 11; 1. FC Koeln;1;1;1860
Saison 65; Spieltag 11; VfB Stuttgart;3;1; Braunschweig
Saison 65; Spieltag 11; Bremen;2;2; Schalke
Saison 65; Spieltag 11; Hertha;5;3; Kaiserslautern
Saison 65; Spieltag 11; Neunkirchen;1;0; Karlsruhe
Saison 65; Spieltag 11; Nuernberg;2;3; Hamburg
Saison 65; Spieltag 12;1860;3;1; Bremen
Saison 65; Spieltag 12; Karlsruhe;2;3; Hannover
Saison 65; Spieltag 12; Duisburg;2;0; Nuernberg
Saison 65; Spieltag 12; Frankfurt;1;0; Neunkirchen
Saison 65; Spieltag 12; Braunschweig;1;1; Hertha
Saison 65; Spieltag 12; Schalke;2;3; 1. FC Koeln
Saison 65; Spieltag 12; Kaiserslautern;2;1; VfB Stuttgart
Saison 65; Spieltag 12; Hamburg;1;4; Dortmund
Saison 65; Spieltag 13; Braunschweig;2;0; Kaiserslautern
Saison 65; Spieltag 13; Nuernberg;1;0; Dortmund
Saison 65; Spieltag 13; 1. FC Koeln;3;0; Hamburg
Saison 65; Spieltag 13; Hertha;2;1; Karlsruhe
Saison 65; Spieltag 13; Bremen;1;0; Duisburg
Saison 65; Spieltag 13; Neunkirchen;2;1; Hannover
Saison 65; Spieltag 13; Schalke;2;1;1860
Saison 65; Spieltag 13; VfB Stuttgart;1;2; Frankfurt
Saison 65; Spieltag 14; Nuernberg;3;0; 1. FC Koeln
Saison 65; Spieltag 14; Hamburg;3;2;1860
Saison 65; Spieltag 14; Neunkirchen;2;2; Hertha
Saison 65; Spieltag 14; Dortmund;1;2; Bremen
Saison 65; Spieltag 14; Duisburg;2;1; Schalke
Saison 65; Spieltag 14; Frankfurt;2;0; Braunschweig
Saison 65; Spieltag 14; Karlsruhe;6;1; Kaiserslautern
Saison 65; Spieltag 14; Hannover;2;1; VfB Stuttgart
Saison 65; Spieltag 15; 1. FC Koeln;3;3; Dortmund
Saison 65; Spieltag 15; Kaiserslautern;0;1; Frankfurt
Saison 65; Spieltag 15;1860;2;1; Duisburg
Saison 65; Spieltag 15; Braunschweig;3;0; Karlsruhe
Saison 65; Spieltag 15; Hertha;1;1; Hannover
Saison 65; Spieltag 15; Schalke;3;1; Hamburg
Saison 65; Spieltag 15; Bremen;1;1; Nuernberg
Saison 65; Spieltag 15; VfB Stuttgart;3;2; Neunkirchen
Saison 65; Spieltag 16; Neunkirchen;1;1; Nuernberg
Saison 65; Spieltag 16;1860;2;0; Braunschweig
Saison 65; Spieltag 16; Hannover;2;0; Dortmund
Saison 65; Spieltag 16; Hertha;1;3; 1. FC Koeln
Saison 65; Spieltag 16; VfB Stuttgart;2;4; Hamburg
Saison 65; Spieltag 16; Schalke;1;1; Frankfurt
Saison 65; Spieltag 16; Bremen;1;1; Kaiserslautern
Saison 65; Spieltag 16; Duisburg;1;1; Karlsruhe
Saison 65; Spieltag 17; Nuernberg;1;1; VfB Stuttgart
Saison 65; Spieltag 17; Frankfurt;4;1;1860
Saison 65; Spieltag 17; Braunschweig;1;1; Bremen
Saison 65; Spieltag 17; Kaiserslautern;2;0; Duisburg
Saison 65; Spieltag 17; 1. FC Koeln;0;1; Hannover
Saison 65; Spieltag 17; Dortmund;5;1; Neunkirchen
Saison 65; Spieltag 17; Karlsruhe;2;2; Schalke
Saison 65; Spieltag 17; Hamburg;4;1; Hertha
Saison 65; Spieltag 18; Hertha;1;2; Nuernberg
Saison 65; Spieltag 18; Bremen;2;2; Frankfurt
Saison 65; Spieltag 18; VfB Stuttgart;3;2; Dortmund
Saison 65; Spieltag 18; Neunkirchen;1;1; 1. FC Koeln
Saison 65; Spieltag 18; Hannover;1;2; Hamburg
Saison 65; Spieltag 18; Duisburg;2;0; Braunschweig
Saison 65; Spieltag 18; Schalke;1;0; Kaiserslautern
Saison 65; Spieltag 18;1860;9;0; Karlsruhe
Saison 65; Spieltag 19; Frankfurt;2;3; Duisburg
Saison 65; Spieltag 19; 1. FC Koeln;2;1; VfB Stuttgart
Saison 65; Spieltag 19; Dortmund;6;3; Hertha
Saison 65; Spieltag 19; Nuernberg;1;0; Hannover
Saison 65; Spieltag 19; Braunschweig;1;2; Schalke
Saison 65; Spieltag 19; Hamburg;1;2; Neunkirchen
Saison 65; Spieltag 19; Kaiserslautern;1;2;1860
Saison 65; Spieltag 19; Karlsruhe;1;0; Bremen
Saison 65; Spieltag 20; Hertha;0;0; VfB Stuttgart
Saison 65; Spieltag 20; Schalke;1;3; Nuernberg
Saison 65; Spieltag 20;1860;4;4; Dortmund
Saison 65; Spieltag 20; Bremen;0;0; 1. FC Koeln
Saison 65; Spieltag 20; Neunkirchen;0;0; Braunschweig
Saison 65; Spieltag 20; Duisburg;3;2; Hamburg
Saison 65; Spieltag 20; Karlsruhe;3;1; Frankfurt
Saison 65; Spieltag 20; Hannover;4;0; Kaiserslautern
Saison 65; Spieltag 21; Frankfurt;3;0; Hertha
Saison 65; Spieltag 21; 1. FC Koeln;1;2; Duisburg
Saison 65; Spieltag 21; Hamburg;0;4; Bremen
Saison 65; Spieltag 21; Dortmund;4;0; Schalke
Saison 65; Spieltag 21; Nuernberg;2;2;1860
Saison 65; Spieltag 21; Braunschweig;2;2; Hannover
Saison 65; Spieltag 21; VfB Stuttgart;1;2; Karlsruhe
Saison 65; Spieltag 21; Kaiserslautern;2;0; Neunkirchen
Saison 65; Spieltag 22; Karlsruhe;1;1; Nuernberg
Saison 65; Spieltag 22;1860;6;4; Hertha
Saison 65; Spieltag 22; Braunschweig;1;1; 1. FC Koeln
Saison 65; Spieltag 22; Kaiserslautern;1;3; Dortmund
Saison 65; Spieltag 22; Schalke;3;1; VfB Stuttgart
Saison 65; Spieltag 22; Duisburg;1;1; Neunkirchen
Saison 65; Spieltag 22; Bremen;3;0; Hannover
Saison 65; Spieltag 22; Frankfurt;2;1; Hamburg
Saison 65; Spieltag 23; Hamburg;2;1; Karlsruhe
Saison 65; Spieltag 23; Dortmund;5;4; Braunschweig
Saison 65; Spieltag 23; Hannover;0;2;1860
Saison 65; Spieltag 23; Nuernberg;1;0; Kaiserslautern
Saison 65; Spieltag 23; 1. FC Koeln;3;4; Frankfurt
Saison 65; Spieltag 23; VfB Stuttgart;4;2; Duisburg
Saison 65; Spieltag 23; Neunkirchen;1;1; Bremen
Saison 65; Spieltag 23; Hertha;2;1; Schalke
Saison 65; Spieltag 24; Bremen;1;0; VfB Stuttgart
Saison 65; Spieltag 24; Braunschweig;1;0; Nuernberg
Saison 65; Spieltag 24; Karlsruhe;2;4; 1. FC Koeln
Saison 65; Spieltag 24; Kaiserslautern;2;1; Hamburg
Saison 65; Spieltag 24; Schalke;2;2; Hannover
Saison 65; Spieltag 24; Duisburg;2;2; Hertha
Saison 65; Spieltag 24;1860;4;2; Neunkirchen
Saison 65; Spieltag 24; Frankfurt;0;2; Dortmund
Saison 65; Spieltag 25; Hannover;2;0; Duisburg
Saison 65; Spieltag 25; VfB Stuttgart;3;0;1860
Saison 65; Spieltag 25; Dortmund;5;1; Karlsruhe
Saison 65; Spieltag 25; Hertha;0;0; Bremen
Saison 65; Spieltag 25; Nuernberg;0;0; Frankfurt
Saison 65; Spieltag 25; Hamburg;0;1; Braunschweig
Saison 65; Spieltag 25; Neunkirchen;3;2; Schalke
Saison 65; Spieltag 25; 1. FC Koeln;3;0; Kaiserslautern
Saison 65; Spieltag 26; Duisburg;3;2; Dortmund
Saison 65; Spieltag 26; Karlsruhe;2;1; Neunkirchen
Saison 65; Spieltag 26; Hamburg;2;1; Nuernberg
Saison 65; Spieltag 26;1860;2;3; 1. FC Koeln
Saison 65; Spieltag 26; Kaiserslautern;1;2; Hertha
